Address,Price,Beds,Baths,Sizes
"Whitehills Lakes South Southridge Rd, East Lansing, MI 48823","From$588,775",4,2.5,"2,751sqft"
"Spring Grove Village Rocaway Drive, Hudsonville, MI 49426","From$505,233",4,2.5,"2,478sqft"
"Whitehills Lakes South Southridge Rd, East Lansing, MI 48823","From$490,775",3,2,"1,918sqft"
"Preservation Lakes 819 WATER RIDGE DRIVE SE, Byron Center, MI 49315","From$461,956",3,2,"1,918sqft"
"Whitehills Lakes South Southridge Rd, East Lansing, MI 48823","From$471,775",4,2.5,"2,208sqft"
"Whitehills Lakes South Southridge Rd, East Lansing, MI 48823","From$486,275",4,2.5,"2,344sqft"
"Preservation Lakes 819 WATER RIDGE DRIVE SE, Byron Center, MI 49315","From$408,028",1,1.5,"1,364sqft"
"Macatawa Legends 4600 Macatawa Legends, Holland, MI 49424","From$358,400",2,2.5,"1,584sqft"
"Preservation Lakes 819 WATER RIDGE DRIVE SE, Byron Center, MI 49315","From$498,956",4,2.5,"2,528sqft"
"Lowing Woods 3067 Lowingside Drive, Jenison, MI 49428","From$374,400",3,2.5,"1,802sqft"
"Spring Grove Village Rocaway Drive, Hudsonville, MI 49426","From$517,733",4,2.5,"2,528sqft"
"Hathaway Lakes 16927 Birchview Drive, Nunica, MI 49448","From$391,950",1,1.5,"1,552sqft"
"Hathaway Lakes 16927 Birchview Drive, Nunica, MI 49448","From$350,450",4,2.5,"1,931sqft"
"Saddlebrook 2311 Quarter Horse Drive NE, Cedar Springs, MI 49319","From$407,323",3,2,"1,918sqft"
"Hathaway Lakes 16927 Birchview Drive, Nunica, MI 49448","From$437,450",4,2.5,"2,244sqft"
"Hathaway Lakes 16927 Birchview Drive, Nunica, MI 49448","From$437,950",4,2.5,"2,296sqft"
"Prairie Winds 6611 Prairie Winds Drive, Zeeland, MI 49464","From$367,900",1,1.5,"1,552sqft"
"Hathaway Lakes 16927 Birchview Drive, Nunica, MI 49448","From$409,450",4,2.5,"2,208sqft"
"Saddlebrook 2311 Quarter Horse Drive NE, Cedar Springs, MI 49319","From$341,823",3,2.5,"1,665sqft"
"Macatawa Legends 4600 Macatawa Legends, Holland, MI 49424","From$403,900",2,2,"1,800sqft"
"Hathaway Lakes 16927 Birchview Drive, Nunica, MI 49448","From$473,450",4,2.5,"2,528sqft"
"Lowing Woods 3067 Lowingside Drive, Jenison, MI 49428","From$422,900",4,2.5,"2,344sqft"
"Lowing Woods 3067 Lowingside Drive, Jenison, MI 49428","From$448,400",4,2.5,"2,244sqft"
"Prairie Winds 6611 Prairie Winds Drive, Zeeland, MI 49464","From$388,900",2,2,"1,773sqft"
"Macatawa Legends 4600 Macatawa Legends, Holland, MI 49424","From$378,400",2,2,"1,544sqft"
"Macatawa Legends 4600 Macatawa Legends, Holland, MI 49424","From$441,700",4,2.5,"2,478sqft"
"Prairie Winds 6611 Prairie Winds Drive, Zeeland, MI 49464","From$356,400",3,2.5,"1,802sqft"
"Lowing Woods 3067 Lowingside Drive, Jenison, MI 49428","From$438,900",4,2.5,"2,296sqft"
