Address,Price,Beds,Baths,Sizes
"2671 66th St, Port Arthur, TX 77640","$99,900",3,1,"1,456sqft"
"504 Bruce Ln, Yoakum, TX 77995","$145,000",3,2,"1,680sqft"
"5732 Rick Husband Dr, El Paso, TX 79934","$195,000",4,2.5,"1,866sqft"
"376 Haddock, Palacios, TX 77465","$173,000",2,1,"1,333sqft"
"650 Vz County Road 4701, Ben Wheeler, TX 75754","$350,000",3,2,"1,568sqft"
"5430 Kings Manor Dr, Lake Dallas, TX 75065","$239,900",3,2,"1,367sqft"
"15323 Western Skies Dr, Houston, TX 77086","$250,000",3,2,"1,295sqft"
"2101 Hudson St, Corpus Christi, TX 78416","$164,900",3,2,"1,152sqft"
"10055 Pearsall Rd, Atascosa, TX 78002","$400,000",3,1,"2,080sqft"
"7513 Marlborough Dr W, Fort Worth, TX 76134","$234,000",3,2,"1,743sqft"
"541 Greenway Dr, Corpus Christi, TX 78412","$374,900",3,3,"2,092sqft"
"5510 Summerfield Ln, Spring, TX 77379","$264,900",4,2.5,"2,494sqft"
"1115 Pioneer Xing, Weatherford, TX 76088","$650,000",4,3,"2,924sqft"
"29 Trails End Rd, Boerne, TX 78006","$895,000",5,4.5,"4,592sqft"
"1710 Bodart Ct, Houston, TX 77090","$240,000",3,2,"2,557sqft"
"14515 Wunderlich Dr Unit 605, Houston, TX 77069","$179,000",3,2.5,"1,530sqft"
"404 Private Road 8266, Woodville, TX 75979","$359,000",3,2,"1,920sqft"
"14339 Fair Knoll Way, Houston, TX 77062","$319,999",4,2.5,"2,145sqft"
"9426 Hanover Cv, Converse, TX 78109","$315,000",4,2.5,"2,963sqft"
"21310 Madison Valley Ct, Porter, TX 77365","$279,900",4,2.5,"2,322sqft"
"6148 Cloudy Ridge St, San Antonio, TX 78247","$275,000",4,2,"1,869sqft"
"729 Mercer Falls Ln, League City, TX 77573","$309,900",3,2,"2,030sqft"
"9335 Durham Ledge, San Antonio, TX 78254","$260,000",3,2.5,"1,619sqft"
"2414 Oakline Dr, San Antonio, TX 78232","$480,000",5,3,"2,800sqft"
"2100 Welch St Apt C211, Houston, TX 77019","$279,000",2,2,"1,252sqft"
"3183 Market Center Dr, Rockwall, TX 75032","$422,000",4,2,"1,950sqft"
"6207 Royal Ln, Dallas, TX 75230","$799,000",4,2.5,"2,336sqft"
"1912 Lynn St, El Campo, TX 77437","$307,300",3,2,"1,622sqft"
"1215 N Goliad St, Rockwall, TX 75087","$375,000",3,2,"1,480sqft"
"21426 Bluebonnet Cove Ct, Katy, TX 77449","$269,900",3,2,"1,436sqft"
"14721 Whitecap Blvd Apt 374, Corpus Christi, TX 78418","$280,000",2,2,915sqft
"6 Brook Arbor Ct, Mansfield, TX 76063","$419,000",3,2.5,"2,251sqft"
"10912 Cobalt Dr, Providence Village, TX 76227","$339,900",3,2,"1,691sqft"
"1604 Misty Glen Ln, League City, TX 77573","$799,900",4,3.5,"3,509sqft"
"609 Foggy Bottom Ct, Midland, TX 79706","$355,545",3,2.5,"2,209sqft"
"7310 Thomas Paine Rd, Midland, TX 79706","$345,990",4,2.5,"2,099sqft"
"1802 Daybreak Way, Midland, TX 79705","$380,340",3,2,"1,876sqft"
"1805 Overshine Ln, Midland, TX 79705","$347,190",4,2,"1,876sqft"
"1804 Overshine Ln, Midland, TX 79705","$375,940",4,2,"2,526sqft"
"7106 Saguaro Cir, Odessa, TX 79765","$320,200",3,2,"1,872sqft"
"1808 Overshine Ln, Midland, TX 79705","$361,790",4,2,"2,126sqft"
"1922 E Roosevelt Rd, Donna, TX 78537","$199,900",3,2,"1,733sqft"
"415 N Hickory St, Muenster, TX 76252","$200,000",2,1,"1,260sqft"
"5122 Dumore Dr, Houston, TX 77048","$119,000",3,1,"1,368sqft"
"1000 Vzcounty Rd # 2718, Mabank, TX 75147","$329,900",3,2,"1,652sqft"
"1000 Vz County Road 2718, Mabank, TX 75147","$329,900",3,2,"1,652sqft"
"120 W Elmwood Dr, Mount Vernon, TX 75457","$397,000",4,2.5,"2,344sqft"
"708 Legendary Ln, Gun Barrel City, TX 75156","$295,000",3,2,"1,620sqft"
"129 County Road 417 Parkway Dr, Dayton, TX 77535","$335,000",3,2.5,"1,960sqft"
"1925 Andrea Ave, Edinburg, TX 78539","$249,000",3,2.5,"2,814sqft"
"14703 Parkview Ct, Beach City, TX 77523","$539,900",4,3,"3,086sqft"
"8029 Gladys Ave, Beaumont, TX 77706","$152,500",3,2,"1,496sqft"
"2110 Lake Rd, La Marque, TX 77568","$210,000",3,2,"1,545sqft"
"11570 Bob Mitchell Dr, El Paso, TX 79936","$128,000",3,2,"1,149sqft"
"13023 Maxim Dr, Houston, TX 77065","$240,000",3,2,"1,637sqft"
"438 S San Ignacio Ave, San Antonio, TX 78237","$225,000",7,3.5,"2,470sqft"
"415 N Washington Ave, Livingston, TX 77351","$359,900",1,3,"5,730sqft"
"3009 Nyssa Ave, McAllen, TX 78501","$155,000",3,2,"1,170sqft"
"610 Ingram St, Sulphur Springs, TX 75482","$179,900",4,1.5,"1,400sqft"
"3535 Nasa Pkwy Apt 38, Seabrook, TX 77586","$138,000",2,2,"1,188sqft"
"7230 Plain View Dr, Kemp, TX 75143","$474,900",3,2,"2,050sqft"
"206 Neathery St, Farmersville, TX 75442","$215,000",3,2,"1,564sqft"
"261 Honey Bee Ln, Austin, TX 78737","$1,050,000",6,4.5,"4,540sqft"
"103 Montezuma Dr, Victoria, TX 77904","$234,000",3,2,"1,699sqft"
"9140 Timber Path Unit 2103, San Antonio, TX 78250","$175,000",2,1.5,993sqft
"4005 Trails End, Parker, TX 75002","$475,000",3,3,"2,431sqft"
"3312 Saint Louis Ave, Fort Worth, TX 76110","$350,000",3,2.5+,"2,139sqft"
"8512 McCormick Ct, Fort Worth, TX 76179","$349,900",3,2,"2,065sqft"
"12115 Cove Ridge Ln, Cypress, TX 77433","$370,000",4,2,"2,324sqft"
"16139 Dockside St, Crosby, TX 77532","$284,900",4,2.5,"2,268sqft"
"21506 Old Hannover Dr, Spring, TX 77388","$350,000",5,3,"3,112sqft"
"1108 Skylark Dr, Burleson, TX 76028","$329,900",3,2,"1,805sqft"
"827 Winnie St, Galveston, TX 77550","$300,000",2,1,"2,051sqft"
"710 Carpenter Dr, Garland, TX 75040","$275,000",4,1.5,"1,279sqft"
"19316 Moorlynch Ave, Pflugerville, TX 78660","$730,000",5,4,"3,802sqft"
"27711 Bogen Rd, New Braunfels, TX 78132","$897,700",3,2.5,"3,395sqft"
"11815 Vance Jackson Rd Apt 2901, San Antonio, TX 78230","$160,000",1,1,760sqft
"1220 W 16th St, Houston, TX 77008","$739,000",3,3.5,"3,355sqft"
"6940 Charolais Rd, Odessa, TX 79765","$378,085",4,3,"2,491sqft"
"7009 Forrest Meadows Dr, Abilene, TX 79606","$277,900",4,2,"1,737sqft"
"1909 Ebbets Dr, Odessa, TX 79762","$290,710",5,2.5,"2,161sqft"
"1912 Ebbets Dr, Odessa, TX 79762","$255,365",3,2,"1,498sqft"
"1814 Ebbets Dr, Odessa, TX 79762","$297,070",5,2.5,"2,161sqft"
"228 Chesnut Ln, Santo, TX 76472","$275,000",3,2,"1,486sqft"
"322 W Vinyard Rd, Duncanville, TX 75137","$135,000",2,1,698sqft
"3008 Tucson Dr, Killeen, TX 76543","$279,900",3,2.5,"2,598sqft"
"614 Red Oak Ave, Crosby, TX 77532","$165,000",3,2,"1,753sqft"
"1120 E Ramsey Ave, Fort Worth, TX 76104","$144,900",2,1,949sqft
"5110 Causeway Ct, Killeen, TX 76549","$199,900",4,2.5,"1,526sqft"
"10471 Autry Dr, Santa Fe, TX 77510","$259,000",3,2,"1,415sqft"
