Address,Price,Beds,Baths,Sizes
"Heritage Ridge 277 Scenic Hills Drive, Newnan, GA 30265","From$367,200",5,3.5,"3,870sqft"
"Genesee 42 Hodges Street, Newnan, GA 30263","From$507,990",5,4,"4,443sqft"
"Enclave at Durham Lakes 111 Shadow Creek Ct, Fairburn, GA 30213",Contact For Price,4,2.5,"2,340sqft"
"Heritage Ridge 277 Scenic Hills Drive, Newnan, GA 30265","From$332,500",4,3.5,"2,920sqft"
"277 Scenic Hills Drive, Newnan, GA 30265","From$327,500",4,2.5,"2,750sqft"
"111 Shadow Creek Ct, Fairburn, GA 30213",Contact For Price,4,2.5,"2,804sqft"
"Enclave at Durham Lakes 111 Shadow Creek Ct, Fairburn, GA 30213",Contact For Price,4,2,"1,774sqft"
"Enclave at Durham Lakes 111 Shadow Creek Ct, Fairburn, GA 30213",Contact For Price,5,3,"2,511sqft"
"Genesee 42 Hodges Street, Newnan, GA 30263","From$467,990",3,2.5,"2,642sqft"
"Poplar Preserve 18 Poplar Preserve Blvd, NEWNAN, GA 30265","From$303,900",3,2.5,"1,634sqft"
"Poplar Preserve 18 Poplar Preserve Blvd, NEWNAN, GA 30265","From$315,400",3,2.5,"1,920sqft"
"18 Poplar Preserve Blvd, NEWNAN, GA 30265","From$304,000",4,2,"1,774sqft"
"Genesee 42 Hodges Street, Newnan, GA 30263","From$486,990",5,4,"3,557sqft"
"Poplar Preserve 18 Poplar Preserve Blvd, NEWNAN, GA 30265","From$319,000",4,2.5,"2,338sqft"
"Poplar Preserve 18 Poplar Preserve Blvd, NEWNAN, GA 30265","From$292,000",3,2,"1,343sqft"
"Twin Lakes GPS use 3434 GA-53, Hoschton, GA 30548","From$322,400",4,2.5,"2,175sqft"
"Estates at Deer Hollow GPS use Wrightsboro Rd & Deer Hollow Run, 405 Roebuck Pass, Grovetown, GA 30813","From$276,000",4,2,"1,774sqft"
"Heritage Ridge 277 Scenic Hills Drive, Newnan, GA 30265","From$324,000",4,3,"2,567sqft"
"Poplar Preserve 18 Poplar Preserve Blvd, NEWNAN, GA 30265","From$315,600",4,2.5,"1,976sqft"
"18 Poplar Preserve Blvd, NEWNAN, GA 30265","From$306,600",3,2.5,"1,749sqft"
"The Georgian 31 Woodburn Drive, Villa Rica, GA 30180","From$399,990",5,3,"2,760sqft"
"Poplar Preserve 18 Poplar Preserve Blvd, NEWNAN, GA 30265","From$311,700",4,2.5,"1,821sqft"
"Poplar Preserve 18 Poplar Preserve Blvd, NEWNAN, GA 30265","From$300,800",3,2,"1,618sqft"
"Heritage Ridge 277 Scenic Hills Drive, Newnan, GA 30265","From$322,700",3,3,"2,226sqft"
"Aria 6703 Encore Boulevard, Sandy Springs, GA 30328","From$742,900",3,3.5,"3,953sqft"
"2245 Washington Dr, Douglasville, GA 30135","$362,000",6,3.5,"2,787sqft"
"The Preserve at Agricultural Village 100 Silo Circle, PERRY, GA 31069","From$247,900",3,2,"1,618sqft"
"Park West Express 151 Caribbean Village Dr, Guyton, GA 31312","From$270,990",3,2,"1,618sqft"
"Patriots Ridge Long Creek Falls & Columbia Rd, GROVETOWN, GA 30813","From$306,600",5,3,"3,209sqft"
"Patriots Ridge Long Creek Falls & Columbia Rd, GROVETOWN, GA 30813","From$282,700",4,3,"2,635sqft"
"Patriots Ridge Long Creek Falls & Columbia Rd, GROVETOWN, GA 30813","From$292,400",5,3.5,"2,721sqft"
"Park West Express 151 Caribbean Village Dr, Guyton, GA 31312","From$279,990",4,2,"1,774sqft"
"1795 Rising Mist Ln, Cumming, GA 30041","$899,900",5,1.5+,"4,295sqft"
"1615 Glenwood Cir, Cumming, GA 30040","$400,000",3,2,"2,027sqft"
"Enclave at Durham Lakes 111 Shadow Creek Ct, Fairburn, GA 30213",Contact For Price,5,3,"2,361sqft"
"Broder Farm 1007 Flippen Road, STOCKBRIDGE, GA 30281","From$319,680",4,2,"1,774sqft"
"256 Pink Dogwood Ln, Pooler, GA 31322","$350,000",3,2.5,"2,471sqft"
"4439 Shelborne Dr, Doraville, GA 30338","$624,900",4,3.5,"3,100sqft"
"Park West Express 151 Caribbean Village Dr, Guyton, GA 31312","From$303,990",5,3,"2,361sqft"
"16 Euclid /S4 Ave Unit S3, Chickamauga, GA 30707","$389,900",4,3,"3,196sqft"
"Park West Express 151 Caribbean Village Dr, Guyton, GA 31312","From$297,990",4,2.5,"2,340sqft"
"Estates at Deer Hollow GPS use Wrightsboro Rd & Deer Hollow Run, 405 Roebuck Pass, Grovetown, GA 30813","From$301,750",4,3,"2,635sqft"
"Broder Farm 1007 Flippen Road, STOCKBRIDGE, GA 30281","From$326,750",4,2.5,"1,991sqft"
"Broder Farm 1007 Flippen Road, STOCKBRIDGE, GA 30281","From$331,250",4,2.5,"2,175sqft"
"Broder Farm 1007 Flippen Road, STOCKBRIDGE, GA 30281","From$345,380",5,3,"2,511sqft"
"Genesee 42 Hodges Street, Newnan, GA 30263","From$493,990",5,4.5,"3,138sqft"
"The Georgian 31 Woodburn Drive, Villa Rica, GA 30180","From$424,990",5,4,"3,905sqft"
"Genesee 42 Hodges Street, Newnan, GA 30263","From$520,990",5,4.5,"4,301sqft"
"277 Scenic Hills Drive, Newnan, GA 30265","From$336,200",4,3,"2,891sqft"
"Broder Farm 1007 Flippen Road, STOCKBRIDGE, GA 30281","From$380,300",4,3,"2,567sqft"
"Poplar Preserve 18 Poplar Preserve Blvd, NEWNAN, GA 30265","From$318,300",4,2.5,"2,170sqft"
"Broder Farm 1007 Flippen Road, STOCKBRIDGE, GA 30281","From$389,700",4,3.5,"2,920sqft"
"Broder Farm 1007 Flippen Road, STOCKBRIDGE, GA 30281","From$333,820",4,2.5,"2,338sqft"
"35 Leeward Ct, Newnan, GA 30263","$695,000",5,3.5,"3,538sqft"
"Broder Farm 1007 Flippen Road, STOCKBRIDGE, GA 30281","From$392,400",4,3,"2,891sqft"
"18 Poplar Preserve Blvd, NEWNAN, GA 30265","From$319,400",4,2.5,"2,356sqft"
"42 Hodges Street, Newnan, GA 30263","From$496,990",5,4.5,"3,448sqft"
"Broder Farm 1007 Flippen Road, STOCKBRIDGE, GA 30281","From$392,080",5,3,"3,034sqft"
"Heritage Ridge 277 Scenic Hills Drive, Newnan, GA 30265","From$306,400",4,2.5,"2,498sqft"
"The Woods at Dawson Townhomes 160 Timberland Avenue, Dawsonville, GA 30534","From$325,990",3,2.5,"1,818sqft"
"18 Poplar Preserve Blvd, NEWNAN, GA 30265","From$335,700",5,3,"2,511sqft"
"Broder Farm 1007 Flippen Road, STOCKBRIDGE, GA 30281","From$388,040",5,4,"2,887sqft"
"Broder Farm 1007 Flippen Road, STOCKBRIDGE, GA 30281","From$363,250",5,3.5,"2,721sqft"
"9827 Byrne Dr, Jonesboro, GA 30236","$355,000",5,3,"3,044sqft"
"Milton Overlook 231 Milton Overlook Pass, Woodstock, GA 30188","From$804,995",5,4.5,"4,220sqft"
"Milton Overlook 231 Milton Overlook Pass, Woodstock, GA 30188","From$814,995",5,3.5,"4,438sqft"
"Gardendale 3348 Duluth Highway, DULUTH, GA 30096","From$484,990",4,3.5,"2,607sqft"
"1050 Clough Blvd, Douglas, GA 31533","$55,000",3,2,"1,736sqft"
"489 Iron Hill Rd, Taylorsville, GA 30178","$649,999",4,3.5,"4,000sqft"
"150 Hudson Way, Macon, GA 31216","$225,000",3,3,"2,205sqft"
"1711 Rusk Dr, Hephzibah, GA 30815","$160,000",3,2,"1,528sqft"
"230 Norma Ln, Evans, GA 30809","$249,900",3,2.5,"1,890sqft"
"5244 Cantbury Way, Atlanta, GA 30349","$350,000",4,2.5,"3,002sqft"
"882 Bridge Ave Unit 50, Forest Park, GA 30297","$180,000",4,2.5,"2,048sqft"
"120 Ann Dr, Canton, GA 30114","$314,900",3,2,"2,784sqft"
"754 Jacksons Mill Way NW, Lilburn, GA 30047","$329,900",3,2,"1,632sqft"
