Address,Price,Beds,Baths,Sizes
"7 W 96th St Apt 2E, New York City, NY 10025","$1,450,000",2,2,"1,302sqft"
"124 Hudson St Apt 3D, New York City, NY 10013","$3,950,000",2,2,"2,105sqft"
"309 W 87th St, New York City, NY 10024","$15,500,000",10,8.5+,"21,816sqft"
"160 W 66th St Apt 40C, New York City, NY 10023","$1,950,000",1,1.5,"1,173sqft"
"52 Dare Ct, Brooklyn, NY 11229","$220,000",2,1,777sqft
"1914 Hennessy Pl, Bronx, NY 10453","$525,000",4,3.5,"2,200sqft"
"21 Pell Pl, Bronx, NY 10464","$539,000",2,1,"1,096sqft"
"120 Ilyssa Way, Staten Island, NY 10312","$409,000",2,1.5+,"1,354sqft"
"249-55 60 Ave Unit 358, Little Neck, NY 11362","$336,000",2,1,No display data
"86 Beaver St Apt 6F, Brooklyn, NY 11206","$490,000",3,2,"1,080sqft"
"3152 Randall Ave, Bronx, NY 10465","$615,000",4,2,"1,296sqft"
"152-42 Melbourne Ave Unit 239B, Flushing, NY 11367","$299,000",1,1,No display data
"3242 Tibbett Ave, Bronx, NY 10463","$975,000",4,2.5,"2,310sqft"
"32-23 88 St Unit 202, East Elmhurst, NY 11369","$258,000",1,1,780sqft
"743 Post Ave, Staten Island, NY 10310","$649,900",3,2,"2,600sqft"
"174-27 126th Ave, Jamaica, NY 11434","$1,149,000",6,4,"2,580sqft"
"135-06 232nd St, Laurelton, NY 11413","$709,000",4,2,No display data
"56-15 208 St, Bayside, NY 11364","$920,000",3,2,No display data
"3512 Oxford Ave Apt 1E, Bronx, NY 10463","$299,000",2,1,850sqft
"100-25 67 Dr, Forest Hills, NY 11375","$1,250,000",3,2.5,"1,560sqft"
"175 Willoughby St Apt 15D, New York City, NY 11201","$585,000",1,1,No display data
"16035 97th St, Howard Beach, NY 11414","$939,000",4,3,No display data
"3130 Brighton 6th St Apt 1M, Brooklyn, NY 11235","$395,000",1,1,950sqft
"134-11 111th Ave, South Ozone Park, NY 11420","$899,000",3,2.5,No display data
"32 Duke Pl, Staten Island, NY 10314","$650,000",3,2,"1,152sqft"
"460 Ovington Ave Apt 4B, Brooklyn, NY 11209","$340,000",1,1,700sqft
"110-15 71 Rd Units 5M & 5L, Forest Hills, NY 11375","$840,000",3,2,"1,575sqft"
"20-10 26th St, Queens, NY 11105","$999,000",2,1.5,"1,200sqft"
"35-40 30 St Unit 1L, Astoria, NY 11106","$949,000",2,2,"1,115sqft"
"87-14 Atlantic Ave, Ozone Park, NY 11416","$950,000",5,2.5,"1,700sqft"
"617 W 142nd St, New York City, NY 10031","$3,799,000",8,8.5,"4,608sqft"
"10530 66th Ave Apt 1G, Forest Hills, NY 11375","$299,000",1,1,750sqft
"193 Bay 23rd St, Brooklyn, NY 11214","$1,599,999",7,4,"4,480sqft"
"34A Jewel St, New York City, NY 11222","$2,995,000",3,4,"2,974sqft"
"102-55 67 Dr Unit 3J, Forest Hills, NY 11375","$648,888",2,2,"1,150sqft"
"617 W 142nd St, Manhattan, NY 10031","$3,799,000",8,7.5+,"4,608sqft"
"25 Broad St Apt 9E, New York, NY 10004","$980,000",1,1,886sqft
"182 5th Ave Apt 1R, Brooklyn, NY 11217","$949,000",1,2,"1,000sqft"
"155 Perry St Apt 6A, Manhattan, NY 10014","$3,850,000",2,2,No display data
"60 Sutton Pl S Unit 1EN, New York, NY 10022","$875,000",1,1,"1,050sqft"
"46 W 95th St Apt 2C, New York, NY 10025","$950,000",2,1,No display data
"552 Arden Ave, Staten Island, NY 10312","$1,280,000",3,3,"2,550sqft"
"901 Blake Ave, Brooklyn, NY 11207","$525,000",2,1.5,"1,116sqft"
"130 Prospect St, Staten Island, NY 10304","$729,000",6,1.5+,"2,256sqft"
"150-37 116th Dr, Jamaica, NY 11434","$725,000",3,2.5,"1,463sqft"
"650 51st St Unit 2, Brooklyn, NY 11220","$600,000",3,1,No display data
"2286 Brigham St Apt 2A, Brooklyn, NY 11229","$210,000",1,1,825sqft
"211 Quintard St, Staten Island, NY 10305","$729,000",3,2.5,"1,200sqft"
"99-63 66ave Unit C6, Rego Park, NY 11374","$305,000",1,1,800sqft
"166-54 17th Rd Unit 1, Whitestone, NY 11357","$275,000",2,1,900sqft
"139-50 35th Ave Unit 7J, Flushing, NY 11354","$337,000",1,1,No display data
"303 Logan St, Brooklyn, NY 11208","$729,000",3,2,No display data
"80 Columbus 73E Cir Unit Nt, New York City, NY 10019","$7,495,000",2,2.5,"1,561sqft"
"69-52 Caldwell Ave, Maspeth, NY 11378","$838,000",3,2,No display data
"136-05 Sanford Ave Unit 6C, Flushing, NY 11355","$350,000",1,1,No display data
"7233 Royce Pl, Brooklyn, NY 11234","$1,149,000",7,3.5+,"3,013sqft"
"60-30 59 Dr, Maspeth, NY 11378","$819,000",3,1.5,No display data
"133 Woods of Arden Rd, Staten Island, NY 10312","$625,000",3,2,"1,050sqft"
"152-14 79th Ave, Flushing, NY 11367","$848,000",3,3.5,No display data
"25-16 45 St, Astoria, NY 11103","$1,080,000",4,2,No display data
"302 96th St Apt 6B, Brooklyn, NY 11209","$499,000",2,1,950sqft
"9707 4th Ave Apt 2H, New York City, NY 11209","$435,000",1,1,No display data
"40-22 College Point Blvd Ph 2R, Flushing, NY 11354","$1,480,000",3,3,"1,947sqft"
"214 Etna St, Brooklyn, NY 11208","$938,009",6,2,No display data
"219 Kingsland Ave, Brooklyn, NY 11222","$3,799,000",16,16,"10,380sqft"
"53-10 Haspel St, Elmhurst, NY 11379","$1,280,000",5,3,No display data
"80-38 211th St, Hollis Hills, NY 11427","$968,000",3,3,"1,400sqft"
"221-45 Horace Harding Expy, Oakland Gardens, NY 11364","$1,395,000",6,4.5,No display data
"321 57th St, Brooklyn, NY 11220","$1,299,000",5,3,"2,400sqft"
"34A Jewel St, Brooklyn, NY 11222","$2,995,000",3,3.5,"2,974sqft"
"632 E 3rd St, Brooklyn, NY 11218","$1,349,000",7,2.5,"3,000sqft"
"58-22 Oceania St, Bayside, NY 11364","$1,430,000",5,2.5,No display data
"318 Linden Blvd, Brooklyn, NY 11226","$2,398,000",8,3.5,"3,600sqft"
"3165 Emmons Ave Apt 2A, Brooklyn, NY 11235","$675,000",2,2,960sqft
"230 W 56th St Apt 48C, New York, NY 10019","$3,975,000",2,2,"1,412sqft"
"181 E 28th St Apt 1101, New York, NY 10016","$2,350,000",2,2,"1,129sqft"
"81 Utica Ave, New York, NY 11213","$700,000",1,1,No display data
"500 W 22nd St Unit 3B, Manhattan, NY 10011","$5,475,000",3,3.5,"2,299sqft"
"327 Central Park W Unit 16E, New York City, NY 10025","$1,200,000",1,1,805sqft
"112-19 34th Ave Unit 4A, Corona, NY 11368","$115,000",1,1,No display data
"112-30 Northern Blvd Unit 1G, Corona, NY 11368","$155,000",2,1,No display data
"1874 Pelham Pkwy S Apt 6E, Bronx, NY 10461","$196,000",1,1,750sqft
"63 Franklin Ave, Staten Island, NY 10301","$629,900",5,3,"2,808sqft"
"175-45 88 Ave Unit 2T, Jamaica, NY 11432","$169,999",1,1,No display data
"525 W 236th St Apt 4D, Bronx, NY 10463","$239,000",1,1,900sqft
"907 E 211th St, Bronx, NY 10469","$799,000",7,3,"3,700sqft"
"84-40 153 Ave Unit 4FF, Howard Beach, NY 11414","$159,000",1,1,No display data
"3279 Hull Ave Apt 24, Bronx, NY 10467","$190,000",2,1,900sqft
"6113 23rd Ave Apt 2A, Brooklyn, NY 11204","$499,000",2,2,"1,026sqft"
